Author;"Book Title";Published;Rating;Description
"Agatha Christie";"Murder in the Calais coach";2025;0.00;"Sin descripción"
"Agatha Christie";"Partners in crime";2025;0.00;"Sin descripción"
"Agatha Christie";"Misterio en el Caribe";2024;0.00;"Sin descripción"
"Agatha Christie";"מסתרי 13 הרוצחים";2025;0.00;"Sin descripción"
"Agatha Christie";"חג לרצח";2025;0.00;"Sin descripción"
"Agatha Christie";"מסתרי הצוואה הכפולה";2025;0.00;"Sin descripción"
"Agatha Christie";"מסתרי ארבעת הגדולים";2025;0.00;"Sin descripción"
"Agatha Christie";"מסך המוות";2025;0.00;"Sin descripción"
"Agatha Christie";"תעלומת הרעל הגנוב";2025;0.00;"Sin descripción"
"Agatha Christie";"רצח בביתן הספורט";2025;0.00;"Sin descripción"
"Agatha Christie";"מסתרי האליבי החסר";2025;0.00;"Sin descripción"
"Agatha Christie";"Les annees 1953-1958";2023;0.00;"Plongez dans l'univers fascinant d'Agatha Christie à travers une sélection captivante de ses œuvres écrites entre 1953 et 1958. Cette période marquée par une maîtrise indiscutable de l'art du suspense et du mystère nous offre des intrigues aussi brillantes que complexes, où chaque page est une promesse de surprises et de révélations.

Suivez les enquêtes de Hercule Poirot, le détective belge au génie imparable, et de Miss Marple, la vieille dame au flair infaillible, dans des intrigues où le crime semble toujours aussi insaisissable. De l'étrange meurtre annoncé dans Un meurtre est-il annoncé ? à l'intrigue tendue de La Souricière, cette collection met en lumière le talent inégalé de Christie pour manipuler les attentes du lecteur et semer le doute à chaque tournant.

Les années 1953-1958 marquent un tournant dans la carrière de l'auteur, avec une profondeur psychologique accrue dans ses personnages et des intrigues toujours plus subtiles. Son écriture a mûri, mais la tension et l'excitation restent aussi présentes qu'au premier jour.

Ce recueil est un incontournable pour les amateurs de mystères et pour tous ceux qui souhaitent découvrir ou redécouvrir le génie d’Agatha Christie, la reine incontestée du crime.

""Un chef-d'œuvre de suspense, où rien n'est jamais aussi simple qu'il n'y paraît."""
"Agatha Christie";"Six Against the Yard";2020;0.00;"Sin descripción"
"Agatha Christie";"A Caribbean Mystery";2009;4.25;"As Miss Marple sat basking in the Caribbean sunshine, she felt mildly discontented with life. True, the warmth eased her rheumatism, but here in paradise nothing ever happened. Eventually, her interest was aroused by an old soldier's yarn about strange coincidence. Infuriatingly, just as he was about to show her an astonishing photograph, the Major's attention wandered. He never did finish the story..."
